,frame,RMS,abs rel,mean GT,mean pred,scaling factor,file number
frame1,1,0.2731315090847392,-0.038614024481032724,2.997533333333334,3.1181532353740056,0.9613168779929432,2
frame2,2,0.17490109469571963,-0.018544509573002316,2.9877333333333334,3.041634197543295,0.9822789787629634,2
frame3,3,0.2796800172110822,-0.03095601087598139,2.9625333333333335,3.0535299263899436,0.970199541104812,2
frame4,4,0.20017283923985335,0.00013726668601350112,2.9563333333333337,2.9532890003869023,1.0010308279839977,2
frame5,5,0.24481551981424987,-0.04320971324904295,2.951466666666667,3.074380632085969,0.9600199259205244,2
frame6,6,0.1508844197823434,-0.0011083153054672027,2.9569333333333336,2.958166779757503,0.9995830368887212,2
frame7,7,0.15604424921398444,0.00431040967419525,2.9366000000000003,2.9228477564629047,1.0047050837686249,2
frame8,8,0.1759777201624339,0.035860759070973545,2.9352,2.8265918759824014,1.038423702035106,2
frame9,9,0.22834737119654924,0.06294112413994143,2.918333333333334,2.7311395255905557,1.0685405509271084,2
frame10,10,0.1983869856818631,0.05592000382364909,2.890714285714286,2.72610837610494,1.0603812786946256,2
frame11,11,0.2202590715409576,0.0723996235779111,2.905230769230769,2.6915716456387977,1.079380804868474,2
frame12,12,0.24465570980039,0.0780656971146401,2.8854285714285717,2.6561995689698814,1.0862996158634228,2
frame13,13,0.15417482504715016,0.018686033288340682,2.890923076923077,2.8334288700814487,1.0202913888005862,2
frame14,14,0.15148953765561934,0.029566083471942634,2.9105833333333333,2.822730268440551,1.0311234360133594,2
frame15,15,0.16600461314631978,0.03747905250412532,2.8721999999999994,2.7617377516950716,1.0399973705820291,2
frame16,16,0.1489119826425951,0.022452187281007674,2.863,2.796196911863695,1.0238906951984938,2
frame17,17,0.1590985027131311,0.03847950399014428,2.8503333333333334,2.7373226627293556,1.041285111230291,2
frame18,18,0.20993731994383552,0.05928089126567236,2.868125,2.693188057602975,1.0649553386749846,2
frame19,19,0.18835952774128334,0.05226004549506571,2.8461250000000002,2.692354334383082,1.0571138292063451,2
frame20,20,0.19330153783453935,0.05613609500115623,2.8352352941176475,2.6711371958744015,1.0614337962485405,2
frame21,21,0.16012800719037906,0.04808860897014552,2.8038000000000003,2.6655674562370164,1.051858580220711,2
frame22,22,0.17405267087012927,0.04727874271975008,2.8275,2.688918832270745,1.0515378768842292,2
frame23,23,0.19033988056978504,0.06180049032942691,2.8192500000000003,2.6402644406853253,1.0677907699534128,2
frame24,24,0.18714674475155482,0.06600862540130707,2.763000000000001,2.5779270420804083,1.0717913869937286,2
frame25,25,0.10008649626187867,-0.011471795724548756,2.7896,2.818664883239194,0.9896884218439644,2
frame26,26,0.11908558257454471,0.03191991915106964,2.7924,2.700627693946453,1.0339818429098013,2
frame27,27,0.1643653678085972,0.05208616206515851,2.8106875000000002,2.6585242426672036,1.0572359863757108,2
frame28,28,0.18810802284223582,0.05553025801753821,2.7854000000000005,2.625362961588573,1.0609580620862384,2
frame29,29,0.14301611704428693,0.02451403575530747,2.7932666666666672,2.7190838310585947,1.0272822907336372,2
frame30,30,0.17988273777210578,0.04072770362315837,2.7731333333333335,2.6549316938426752,1.044521536943791,2
frame31,31,0.23053183248519865,0.06302526155255884,2.7774375,2.5951232708888528,1.0702526277484703,2
frame32,32,0.2362693737661824,0.07294444773135865,2.7878125000000002,2.577971086788421,1.0813978924305916,2
frame33,33,0.19337320848543466,0.04666891465063009,2.7602666666666673,2.625413587946943,1.0513645085630787,2
frame34,34,0.279453124419335,0.08137263508969035,2.803,2.5652614364792754,1.0926761538375642,2
frame35,35,0.2860880114015869,0.0831054326869456,2.7917647058823527,2.5499394346800823,1.0948356921397273,2
frame36,36,0.3082312057094392,0.09510170545140335,2.7975882352941177,2.521742382567423,1.1093870074253391,2
frame37,37,0.29656169498621315,0.0823684353315607,2.7993750000000004,2.5546678780533836,1.0957882330023578,2
frame38,38,0.26303800640445646,0.07312347935697348,2.792705882352941,2.5779161563289286,1.083319127930787,2
frame39,39,0.29953673674470477,0.08789615040773968,2.8064705882352943,2.546183081747314,1.1022265477898623,2
frame40,40,0.27691613233473733,0.07706493036847853,2.7994375,2.5679777116192444,1.0901330986376856,2
frame41,41,0.3149982251070023,0.10004716243110004,2.8051176470588235,2.5120884030172697,1.1166476640271084,2
frame42,42,0.26423728708944866,0.07917931190450006,2.8131764705882354,2.5763185399554436,1.091936585852807,2
frame43,43,0.36098304104939377,0.12221181358463627,2.7953125,2.4419802052254327,1.1446908922596895,2
frame44,44,0.27326676276994244,0.08007564457172679,2.79825,2.5606399823373573,1.0927932154858222,2
frame45,45,0.2705620964445511,0.08844653718919877,2.7850625,2.5279808187548074,1.10169447463285,2
frame46,46,0.27178696880542147,0.08188164344651079,2.8015882352941173,2.5586155544835405,1.0949625591014673,2
frame47,47,0.25878271548267645,0.0737665841503858,2.7870624999999998,2.56879274192423,1.084969781529462,2
frame48,48,0.2948383244125247,0.09357359958788944,2.8066470588235295,2.531195866890865,1.1088225512437362,2
frame49,49,0.20575799642295034,0.05337092263743576,2.798705882352941,2.637610717123789,1.0610761717729218,2
frame50,50,0.281571251749413,0.0847623344812585,2.835235294117647,2.576175034353879,1.1005600381608938,2
frame51,51,0.29889680794096285,0.09393623188270081,2.8228235294117647,2.541474550036149,1.1107030481070974,2
frame52,52,0.24526009270701052,0.07195563347155319,2.809,2.595067005610908,1.0824383316217032,2
frame53,53,0.3824705681153193,0.12661219773940185,2.8151176470588233,2.446766027665559,1.1505463191937098,2
frame54,54,0.28754938200244,0.08832825017594766,2.831058823529412,2.568275006256588,1.1023191895854825,2
