,frame,RMS,abs rel,mean GT,mean pred,scaling factor,file number,,,,,,,Rescaled_pred,Rescaled RMS
frame1,1,0.591828009066973,0.198984606234199,2.99753333333333,2.40570532426636,1.24601018383141,2,,,,,,,2.92499676911297,0.072536564220367
frame2,2,0.47297606820485,0.159410966331753,2.98773333333333,2.51475726512848,1.18808020748702,2,,,,,,,3.05758847578198,0.069855142448647
frame3,3,0.526644541923241,0.178720403730077,2.96253333333333,2.43588879141009,1.21620221078253,2,,,,RMS,RMS std,,2.96169558795229,0.000837745381043
frame4,4,0.566103280867134,0.192538354679735,2.95633333333333,2.3902300524662,1.23684050005272,2,,,,0.760121497288546,0.472002829214931,,2.90618103155774,0.050152301775596
frame5,5,0.641129726506409,0.218073384933827,2.95146666666667,2.31033694016026,1.27750485886355,2,,,,,,,2.80904232840401,0.14242433826266
frame6,6,0.519124218040586,0.177092905727347,2.95693333333333,2.43780911529275,1.21294703296663,2,,,,Scaling factor,scaling factor std,,2.96403042967033,0.007097096336998
frame7,7,0.425417864258296,0.145767909873743,2.9366,2.5111821357417,1.1694094021311,2,,,,1.21585829303719,0.03360892119934,,3.05324162506838,0.116641625068383
frame8,8,0.517483153101925,0.17833440737555,2.9352,2.41771684689807,1.21403794814345,2,,,,,,,2.93960107851674,0.004401078516741
frame9,9,0.516984383316635,0.178496139993793,2.91833333333333,2.4013489500167,1.21528915375379,2,,,,Rescaled RMS,Rescaled rms STD,,2.91970003535394,0.001366702020608
frame10,10,0.570995232009921,0.198975097009761,2.89071428571429,2.31971905370436,1.24614844245819,2,,,,0.638424998239274,0.821419547387851,,2.82044964896283,0.07026463675146
frame11,11,0.37656205369386,0.130348914318094,2.90523076923077,2.52866871553691,1.14891711649697,2,,,,,,,3.07450282812924,0.169272058898471
frame12,12,0.499990908911296,0.174091435535919,2.88542857142857,2.38543766251728,1.2096013309288,2,,,,,,,2.90035416449487,0.014925593066298
frame13,13,0.499934365580745,0.173928271522263,2.89092307692308,2.39098871134233,1.20909106061821,2,,,,,,,2.90710345324387,0.016180376320792
frame14,14,0.532011272598141,0.183055221378592,2.91058333333333,2.37857206073519,1.22366834344876,2,,,,,,,2.89200656563143,0.0185767677019
frame15,15,0.547198175541112,0.191113596599361,2.8722,2.32500182445889,1.23535386931082,2,,,,,,,2.82687274959493,0.045327250405073
frame16,16,0.418132806557661,0.14669584455021,2.863,2.44486719344234,1.17102475246066,2,,,,,,,2.97261205252142,0.109612052521418
frame17,17,0.429563171990753,0.151849528367291,2.85033333333333,2.42077016134258,1.17744897010483,2,,,,,,,2.94331347620534,0.092980142872011
frame18,18,0.417522995835444,0.146431093494474,2.868125,2.45060200416456,1.17037568529117,2,,,,,,,2.97958476969702,0.111459769697024
frame19,19,0.498064939123768,0.176046268323366,2.846125,2.34806006087623,1.2121176316665,2,,,,,,,2.85490829756577,0.008783297565766
frame20,20,0.555982226750387,0.196351558865266,2.83523529411765,2.27925306736726,1.2439317663802,2,,,,,,,2.77124874388893,0.063986550228719
frame21,21,0.488409320704217,0.175289811761387,2.8038,2.31539067929578,1.21094035018434,2,,,,,,,2.81518695904278,0.011386959042782
frame22,22,0.515425171268353,0.183799731459954,2.8275,2.31207482873165,1.22292754752713,2,,,,,,,2.81115535463591,0.016344645364095
frame23,23,0.582758896142084,0.207690504186345,2.81925,2.23649110385792,1.26056839445363,2,,,,,,,2.71925625592954,0.099993744070462
frame24,24,0.724550007461681,0.263957489663552,2.763,2.03844999253832,1.35544163953684,2,,,,,,,2.47846632836931,0.284533671630695
frame25,25,0.680154063268836,0.244636322046768,2.7896,2.10944593673116,1.32243256460169,2,,,,,,,2.56478733588818,0.224812664111818
frame26,26,0.637864197973468,0.229257548950671,2.7924,2.15453580202653,1.29605643933765,2,,,,,,,2.61961022253948,0.172789777460515
frame27,27,0.759989667607787,0.269934631374204,2.8106875,2.05069783239221,1.37060051247103,2,,,,,,,2.49335796602745,0.317329533972547
frame28,28,0.688850853469249,0.247799753048026,2.7854,2.09654914653075,1.32856413340423,2,,,,,,,2.54910666656945,0.236293333430552
frame29,29,0.796803154657621,0.285856689741311,2.79326666666667,1.99646351200905,1.39910729640924,2,,,,,,,2.42741671782234,0.365849948844323
frame30,30,0.896856388982025,0.324465221066551,2.77313333333333,1.87627694435131,1.47799787322553,2,,,,,,,2.28128688282401,0.491846450509324
frame31,31,0.934243915658814,0.339159037580098,2.7774375,1.84319358434119,1.50686152751163,2,,,,,,,2.24106220519417,0.536375294805832
frame32,32,0.906771278153316,0.325251745836587,2.7878125,1.88104122184668,1.48205816418159,2,,,,,,,2.28707956912709,0.500732930872908
frame33,33,0.98870230741127,0.358524744591384,2.76026666666667,1.7715643592554,1.55809561885001,2,,,,,,,2.15397121784978,0.606295448816884
frame34,34,0.907185553605257,0.323057412290664,2.803,1.89581444639474,1.47852022402849,2,,,,,,,2.30504171670875,0.49795828329125
frame35,35,0.834846614991712,0.29755544386504,2.79176470588235,1.95691809089064,1.42661295783297,2,,,,,,,2.37933508960388,0.412429616278469
frame36,36,0.883365868239914,0.314067792941517,2.79758823529412,1.9142223670542,1.46147505297377,2,,,,,,,2.32742313970013,0.470165095593992
